# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/zainabkamel/Desktop/PROJECT/SAMPLE_DATA/Homo_sapiens.GRCh38.99.chromosome.15.gtf" "-g" "gene_id" "-o" "counts.txt" "hs_T47D_shCTRL_RNAseq_rep1.bam" "hs_T47D_shCTRL_RNAseq_rep2.bam" "hs_T47D_shNR2F2_RNAseq_rep1.bam" "hs_T47D_shNR2F2_RNAseq_rep2.bam" 
Geneid	hs_T47D_shCTRL_RNAseq_rep1.bam	hs_T47D_shCTRL_RNAseq_rep2.bam	hs_T47D_shNR2F2_RNAseq_rep1.bam	hs_T47D_shNR2F2_RNAseq_rep2.bam
ENSG00000215567	8	4	5	2
ENSG00000201241	1	1	1	0
ENSG00000258463	0	0	1	0
ENSG00000274347	0	0	0	0
ENSG00000188403	0	0	0	0
ENSG00000258706	0	0	0	0
ENSG00000259337	0	0	0	0
ENSG00000259490	1	0	1	0
ENSG00000270961	0	0	0	0
ENSG00000271317	0	0	0	0
ENSG00000282520	0	0	0	0
ENSG00000282599	0	0	0	0
ENSG00000271336	0	0	0	0
ENSG00000277988	0	0	0	0
ENSG00000259769	0	0	0	0
ENSG00000258397	20	24	31	6
ENSG00000239471	0	0	0	0
ENSG00000258410	0	0	0	0
ENSG00000278935	0	0	0	0
ENSG00000258780	103	121	149	37
ENSG00000258628	125	138	211	56
ENSG00000259156	140	142	137	39
ENSG00000287122	0	1	10	0
ENSG00000258654	4	6	4	0
ENSG00000180229	158	140	131	39
ENSG00000258488	0	0	0	0
ENSG00000277322	1	3	1	1
ENSG00000258797	0	0	0	0
ENSG00000181984	1	0	0	0
ENSG00000278497	0	0	0	0
ENSG00000258916	0	0	0	0
ENSG00000258707	0	3	3	8
ENSG00000270685	0	0	0	0
ENSG00000278626	1	1	0	0
ENSG00000258590	11	7	4	0
ENSG00000279628	0	0	0	0
ENSG00000260409	2	6	4	1
ENSG00000238478	0	0	0	0
ENSG00000259383	0	0	0	0
ENSG00000259443	0	0	0	0
ENSG00000258420	0	0	0	0
ENSG00000274499	25	26	61	23
ENSG00000259089	2	0	0	0
ENSG00000259214	0	0	0	0
ENSG00000265322	0	0	0	0
ENSG00000230031	0	0	0	0
ENSG00000238489	0	0	0	0
ENSG00000261048	0	0	0	0
ENSG00000261554	0	0	0	0
ENSG00000258799	0	0	0	0
ENSG00000270831	13	14	8	8
ENSG00000266545	0	0	0	0
ENSG00000258710	2	1	0	0
ENSG00000258855	0	0	0	0
ENSG00000258494	0	0	0	0
ENSG00000270824	0	0	0	0
ENSG00000270451	0	0	0	0
ENSG00000282089	0	0	0	0
ENSG00000282268	0	0	0	0
ENSG00000270185	0	0	0	0
ENSG00000259698	0	0	0	0
ENSG00000259025	0	0	0	0
ENSG00000258771	21	21	16	9
ENSG00000243059	0	0	0	0
ENSG00000260986	0	0	0	0
ENSG00000279595	2	1	1	1
ENSG00000258684	119	103	125	33
ENSG00000258883	0	0	1	0
ENSG00000237161	1947	2542	2397	707
ENSG00000247765	7	5	3	2
ENSG00000207289	0	0	0	0
ENSG00000280881	0	0	0	0
ENSG00000280703	0	0	0	0
ENSG00000258415	0	1	0	0
ENSG00000268531	4	6	3	1
ENSG00000258712	11	13	25	13
ENSG00000258767	4	2	1	0
ENSG00000258848	1	0	0	0
ENSG00000277243	0	0	0	0
ENSG00000278522	2	0	1	0
ENSG00000275174	0	0	0	0
ENSG00000281347	0	0	0	0
ENSG00000277841	0	0	0	0
ENSG00000287345	0	0	0	0
ENSG00000284834	0	0	0	0
ENSG00000284788	0	0	0	0
ENSG00000280709	0	0	0	0
ENSG00000284988	0	0	0	0
ENSG00000279639	0	0	0	0
ENSG00000259324	0	0	0	0
ENSG00000285491	0	0	0	0
ENSG00000285116	0	0	0	0
ENSG00000182974	0	0	0	0
